Date,Ganre,Preference
201702,Ballade,"	0.50"
201702,Dance,"	0.19"
201702,Folk/Blues,"	0.08"
201702,Indie,"	0.01"
201702,R&B/Soul,"	0.09"
201702,Rock/Metal,"	0.01"
201703,Folk/Blues,"	0.09"
201703,Dance,"	0.29"
201703,R&B/Soul,"	0.08"
201703,Rap/Hiphop,"	0.13"
201703,Ballade,"	0.40"
201703,Rock/Metal,"	0.01"
201704,Ballade,"	0.36"
201704,Dance,"	0.32"
201704,Folk/Blues,"	0.09"
201704,R&B/Soul,"	0.12"
201704,Rap/Hiphop,"	0.11"
201704,Rock/Metal,"	0.01"
201705,Dance,"	0.33"
201705,Ballade,"	0.34"
201705,Folk/Blues,"	0.07"
201705,Indie,"	0.00"
201705,R&B/Soul,"	0.14"
201705,Rap/Hiphop,"	0.09"
201705,Rock/Metal,"	0.03"
201706,Ballade,"	0.30"
201706,Dance,"	0.34"
201706,Folk/Blues,"	0.06"
201706,Indie,"	0.02"
201706,R&B/Soul,"	0.17"
201706,Rap/Hiphop,"	0.08"
201706,Rock/Metal,"	0.02"
201707,R&B/Soul,"	0.16"
201707,Ballade,"	0.27"
201707,Dance,"	0.36"
201707,Folk/Blues,"	0.05"
201707,Indie,"	0.03"
201707,Rap/Hiphop,"	0.12"
201707,Rock/Metal,"	0.02"
201708,Ballade,"	0.25"
201708,Dance,"	0.38"
201708,Folk/Blues,"	0.03"
201708,Indie,"	0.03"
201708,R&B/Soul,"	0.11"
201708,Rap/Hiphop,"	0.13"
201708,Rock/Metal,"	0.06"
201709,Ballade,"	0.25"
201709,Dance,"	0.39"
201709,Folk/Blues,"	0.02"
201709,Indie,"	0.04"
201709,R&B/Soul,"	0.09"
201709,Rap/Hiphop,"	0.18"
201709,Rock/Metal,"	0.03"
201710,Ballade,"	0.37"
201710,Dance,"	0.28"
201710,Folk/Blues,"	0.04"
201710,Indie,"	0.03"
201710,R&B/Soul,"	0.09"
201710,Rap/Hiphop,"	0.17"
201710,Rock/Metal,"	0.02"
201711,Ballade,"	0.39"
201711,Dance,"	0.27"
201711,Folk/Blues,"	0.04"
201711,Indie,"	0.03"
201711,R&B/Soul,"	0.10"
201711,Rap/Hiphop,"	0.15"
201711,Rock/Metal,"	0.02"
